#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,4.000000000000003,-1116437.3213287415,194008.67572344598,-922428.6456052955,287.207428585242,795.9540128532259
2000,7.999999999999562,-1099987.159185295,203209.99186199537,-896777.1673232997,300.82891400540814,785.930842423966
3000,11.999999999999122,-1101021.8223745497,203819.27582726692,-897202.5465472827,301.730888519132,782.9528779804045
4000,15.999999999998682,-1101074.4361453475,204043.01463200775,-897031.4215133397,302.06210796869897,785.7591890565374
5000,20.000000000000018,-1101276.9552390315,203064.19194264166,-898212.7632963898,300.6130740705734,785.212732308915
6000,24.000000000001354,-1100484.3520672536,202869.67026028837,-897614.6818069651,300.32510719494564,786.1628120454327
7000,28.00000000000269,-1100855.286045474,202968.08856551078,-897887.1974799632,300.4708041245455,782.5928249957166
8000,32.00000000000402,-1101292.8277141703,204006.79514678725,-897286.032567383,302.0084892056408,781.7468989380121
9000,36.000000000001805,-1101178.213259085,203283.18040367527,-897895.0328554098,300.93726118513814,785.9444319824006
10000,39.99999999999959,-1100849.1807924984,201863.82056062474,-898985.3602318737,298.8360629307838,785.4049430122043
11000,43.99999999999737,-1101540.5170905404,203756.76435635795,-897783.7527341824,301.63834750904624,785.7536798864982
12000,47.999999999995154,-1101180.9690721715,203758.4250791987,-897422.5439929728,301.6408060173315,784.1058670349444
13000,51.99999999999294,-1100389.5127891218,204256.46115058337,-896133.0516385385,302.3780908777725,784.2187033115741
14000,55.99999999999072,-1101525.633870854,203920.9518399783,-897604.6820308757,301.88140810827275,782.7643202539623
15000,59.9999999999885,-1100115.2931200918,203189.49433076163,-896925.7987893302,300.79856977870776,786.5946814633929
16000,63.99999999998629,-1101116.604133903,204139.94576684697,-896976.658367056,302.20560331437474,783.1715722282694
17000,67.99999999999118,-1102290.5659086471,202570.05011228562,-899720.5157963615,299.8815541840336,782.8324203202055
18000,71.99999999999606,-1102083.4113913262,203232.46865918022,-898850.942732146,300.8621883066641,785.974866790801
19000,76.00000000000095,-1101717.2491781814,202146.3522988458,-899570.8968793356,299.25431852541436,783.8641571129714
20000,80.00000000000584,-1101651.55021423,201888.98522429253,-899762.5649899376,298.87331630781085,784.2107739782614
21000,84.00000000001073,-1102324.942675178,202750.18677242857,-899574.7559027494,300.14822569632895,784.3726591509331
22000,88.00000000001562,-1102332.7860653196,204059.89804304997,-898272.8880222696,302.0871019080324,783.8823648604629
23000,92.0000000000205,-1102398.871304755,204007.79196166532,-898391.0793430898,302.00996487489545,783.1096827069767
24000,96.0000000000254,-1103187.886617574,204045.66170069412,-899142.2249168798,302.06602664804603,785.9948987752927
25000,100.00000000003028,-1103473.5200416092,202963.40619259776,-900510.1138490115,300.46387241245066,785.6337407839825
26000,104.00000000003517,-1102210.716179111,203553.18738671383,-898657.5287923972,301.3369753268351,783.8889283481993
27000,108.00000000004006,-1103448.5742768086,202755.62331648247,-900692.9509603262,300.15627387166074,784.9398521188913
28000,112.00000000004495,-1101035.739884003,203529.4022491215,-897506.3376348816,301.3017641787719,786.4939804263696
29000,116.00000000004984,-1101680.4717976088,204113.52949725138,-897566.9423003574,302.1664970793825,785.0163009100618
30000,120.00000000005473,-1101522.8869595127,204009.93193236864,-897512.955027144,302.0131328542688,784.8912171875808
31000,124.00000000005961,-1099605.5662011523,203312.79726545222,-896292.7689357001,300.98110552705737,784.8582408441501
32000,128.0000000000645,-1101916.0714301905,202501.8564730096,-899414.2149571809,299.7806013801999,784.0633637422401
33000,132.00000000005517,-1103071.607623388,203925.14051842195,-899146.467104966,301.8876089627473,783.1083650370923
34000,136.00000000004584,-1100009.0439229915,203051.52758402232,-896957.5163389691,300.59432595088145,786.2034599700108
35000,140.00000000003652,-1101524.0798503766,203112.98185534045,-898411.0979950362,300.6853018991221,785.3773700353424
36000,144.0000000000272,-1101393.6653339574,202814.05732895556,-898579.6080050019,300.24277867564297,783.1868377751683
37000,148.00000000001788,-1102626.421720001,204087.657008712,-898538.764711289,302.1281958494154,783.4920793749941
38000,152.00000000000855,-1103698.98873421,202868.11128232008,-900830.8774518898,300.3227993081884,784.6176216790268
39000,155.99999999999923,-1102964.3475778112,203399.66490554664,-899564.6826722645,301.10970303150276,784.9002028297293
40000,159.9999999999899,-1100131.117406859,203601.67025222242,-896529.4471546366,301.40874860749506,784.9310437766803
41000,163.9999999999806,-1101955.3562991312,203310.14883454426,-898645.207464587,300.9771848310987,784.7264251961936
42000,167.99999999997127,-1102763.720009748,203742.0796801999,-899021.6403295479,301.61660854266637,785.9629065612282
43000,171.99999999996194,-1102367.190179634,202975.96704610766,-899391.2231335263,300.4824673047871,785.8741021770483
44000,175.99999999995262,-1102068.8444152763,203934.12951648276,-898134.7148987935,301.90091613578466,783.9399966465925
45000,179.9999999999433,-1102670.6633506203,204169.6188745329,-898501.0444760874,302.2495309218636,785.5412770928289
46000,183.99999999993398,-1102633.3027601046,203336.5225686787,-899296.7801914259,301.0162280972552,782.2605828807995
47000,187.99999999992465,-1103175.7748037772,202812.23949520482,-900363.5353085725,300.2400875828081,782.6121766090439
48000,191.99999999991533,-1102110.1264286824,204318.49877875182,-897791.6276499305,302.4699304184288,784.6206325695404
49000,195.999999999906,-1102848.9557866398,204721.5767763556,-898127.3790102842,303.06664082212274,782.9459139604769
50000,199.9999999998967,-1102667.9980341243,203217.34659697308,-899450.6514371512,300.83980184077427,783.2560465730656
51000,203.99999999988736,-1102937.2236725288,202532.53397415325,-900404.6896983755,299.826015876155,782.6666396766019
52000,207.99999999987804,-1099730.1311234692,203476.8846989669,-896253.2464245023,301.22401801366226,786.363202571836
53000,211.99999999986872,-1101687.3749407744,202931.28049205977,-898756.0944487146,300.41631402461763,785.2049176022575
54000,215.9999999998594,-1101174.5967466393,204070.75881024078,-897103.8379363986,302.1031800190019,786.1638839677537
55000,219.99999999985008,-1101574.9261483606,203820.88561935344,-897754.0405290071,301.7332716303202,786.6083813300528
56000,223.99999999984075,-1102490.9881242272,203182.32436770567,-899308.6637565214,300.7879554768232,784.8574593555555
57000,227.99999999983143,-1102527.4463179028,202853.04268263443,-899674.4036352683,300.3004919873846,783.7789573555893
58000,231.9999999998221,-1101082.587185205,202758.69733097267,-898323.8898542323,300.1608245949409,785.9141720005226
59000,235.9999999998128,-1102966.034172847,204204.07363787064,-898761.9605349763,302.3005372180709,784.0411817928501
60000,239.99999999980346,-1102714.0024127783,201924.0433741196,-900789.9590386588,298.92521584800016,784.1605033858455
61000,243.99999999979414,-1101130.2459255373,204087.18168459085,-897043.0642409464,302.12749218697314,785.567515512556
62000,247.99999999978482,-1100690.7163480548,202565.72894094614,-898124.9874071087,299.875157189135,785.2430437728536
63000,251.9999999997755,-1101516.495333773,203038.88851723706,-898477.606816536,300.5756152728277,783.5801755529612
64000,255.99999999976617,-1101631.3849611683,203463.9770212329,-898167.4079399353,301.20490968813425,786.2088643463776
65000,259.99999999978525,-1102685.7566919448,203433.94959362544,-899251.8070983193,301.1604575509398,784.1132345668033
66000,263.99999999980434,-1104297.9192587938,204185.51996260518,-900112.3992961886,302.2730706455378,783.8925377202436
67000,267.99999999982344,-1104360.9202805646,203896.34216290613,-900464.5781176584,301.8449763247772,783.0446271385242
68000,271.99999999984254,-1101789.669068736,203288.33764023997,-898501.331428496,300.9448958780034,784.6393391791091
69000,275.99999999986164,-1103361.1153032044,203824.17511912153,-899536.9401840828,301.738141354657,781.8466532462571
70000,279.99999999988074,-1100510.9188179541,203352.38617590934,-897158.5326420448,301.039712334874,785.2702723717047
71000,283.99999999989984,-1102525.8883221317,204444.3444494855,-898081.5438726462,302.65623039370166,784.6992457231811
