#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,4.000000000000003,-1129308.0173780043,197136.0741978233,-932171.943180181,288.45885611316663,802.835154336434
2000,7.999999999999562,-1110550.8368838653,205268.29002289622,-905282.546860969,300.358300109459,799.4205967194725
3000,11.999999999999122,-1110949.4636696493,204994.11765103703,-905955.3460186123,299.9571180879231,797.030438116014
4000,15.999999999998682,-1108909.0021222504,206503.49221131206,-902405.5099109383,302.1657065508664,794.6069827624999
5000,20.000000000000018,-1110405.0332551943,206164.93595406512,-904240.0973011293,301.6703149737905,793.1871752557249
6000,24.000000000001354,-1113255.4249238493,206355.12112975385,-906900.3037940954,301.9486029454471,792.1701135818348
7000,28.00000000000269,-1112882.1109378012,205743.5450151883,-907138.5659226129,301.0537157607876,793.8509659328809
8000,32.00000000000402,-1112320.111264496,205596.34403887676,-906723.7672256194,300.8383243088762,793.4269073371802
9000,36.000000000001805,-1113338.1659394195,204646.51439770847,-908691.6515417111,299.44848851698134,794.1309289977999
10000,39.99999999999959,-1112067.0133794872,205100.14880546607,-906966.8645740212,300.1122679033154,793.6540119940933
11000,43.99999999999737,-1111094.0227447348,205539.0453576194,-905554.9773871154,300.7544821601496,792.7077735782763
12000,47.999999999995154,-1113030.3627823917,205864.99195776603,-907165.3708246257,301.23142268874057,791.7496698355387
13000,51.99999999999294,-1112999.5956350686,204524.23228067116,-908475.3633543975,299.2695595221375,794.7737096858583
14000,55.99999999999072,-1112742.1173474044,206290.4219777606,-906451.6953696437,301.85393207685337,794.2810229489415
15000,59.9999999999885,-1112069.032369784,206466.17699323397,-905602.8553765501,302.11110515350055,794.1174210337658
16000,63.99999999998629,-1111740.8181605926,205809.1666958684,-905931.6514647242,301.14973651712165,792.0811031679917
17000,67.99999999999118,-1111289.2314530583,205395.30899808716,-905893.9224549711,300.5441602998749,795.0593350897225
18000,71.99999999999606,-1111488.3551419498,205484.38359854312,-906003.9715434067,300.6744984810567,795.4891080967523
19000,76.00000000000095,-1113048.4782558698,205570.0773138755,-907478.4009419943,300.7998895907328,793.6756382822678
20000,80.00000000000584,-1113331.0976236882,206718.83024601085,-906612.2673776774,302.4807993791051,790.9520322956979
21000,84.00000000001073,-1111410.3658163091,205460.32297359445,-905950.0428427147,300.6392918331699,793.6979184901243
